"filename", "language", "Markdown", "SCSS", "TypeScript", "JSON", "Python", "HTML", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\imageMenu\ImageMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 1, 23
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\imageMenu\selections\customFlavors.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\initialMenu\InitialMenu.scss", "SCSS", 0, 15, 0, 0, 0, 0, 0, 1, 2, 18
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\initialMenu\InitialMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 4, 2, 12
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\loading\Loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\loading\LoadingAnimationDownloads.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\multiplayerChatOverlay\MultiplayerChatOverlay.scss", "SCSS", 0, 13, 0, 0, 0, 0, 0, 2, 4, 19
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\multiplayerChatOverlay\MultiplayerChatOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\multiplayerSettingsOverlay\MultiplayerSettingsOverlay.scss", "SCSS", 0, 149, 0, 0, 0, 0, 0, 9, 33, 191
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\multiplayerSettingsOverlay\MultiplayerSettingsOverlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 126, 0, 24, 150
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\openShareDialog\OpenShareDialog.scss", "SCSS", 0, 11, 0, 0, 0, 0, 0, 7, 2, 20
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\openShareDialog\OpenShareDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\pixelDiv\BGBorderDivType.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 22, 7, 49
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\pixelDiv\PixelButton.scss", "SCSS", 0, -27, 0, 0, 0, 0, 0, 12, -2, -17
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\pixelDiv\PixelButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -9, 0, -3, -12
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\pixelDiv\PixelDiv.scss", "SCSS", 0, 106, 0, 0, 0, 0, 0, 119, 54, 279
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\pixelDiv\PixelDiv.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -12, 0, -3, -15
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\pixelDiv\PixelDivWBorder.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 16, 9, 52
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\pixelDiv\PixelImage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -12, 0, -2, -14
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\pixelDiv\PixelInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -9, 0, -3, -12
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\pixelDiv\PixelLI.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -12, 0, -3, -15
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\pixelDiv\PixelTextArea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -9, 0, -3, -12
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\restaurant\Restaurant.scss", "SCSS", 0, -2, 0, 0, 0, 0, 0, 2, 0, 0
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\shareDialog\ShareDialog.scss", "SCSS", 0, 10, 0, 0, 0, 0, 0, 17, 5, 32
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\components\custom\Custom.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\components\image\Image.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\components\tutorials\components\text\Text.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\CurrentInterPlayerDragContext.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\CustomFlavors.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\MultiplayerContext.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\contexts\SynthSelectorContext.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\download\DownloadManager.ts", "TypeScript", 0, 0, -33, 0, 0, 0, 0, 93, 18, 78
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\download\ImageDownloadManager.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\hooks\Debounce.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\serverCommunication\ServerCommunication.ts", "TypeScript", 0, 0, 118, 0, 0, 0, 0, 31, 19, 168
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\utils\Images.scss", "SCSS", 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\utils\Network.ts", "TypeScript", 0, 0, 41, 0, 0, 0, 0, 0, 11, 52
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\utils\Utils.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\utils\Variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 26, 8, 34
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\test.html", "HTML", 0, 0, 0, 0, 0, -39, 0, 0, -1, -40
"Total", "-", 434, 727, 466, 126, 0, -39, 1096, 401, 629, 3840
