"filename", "language", "TypeScript", "Markdown", "JSON", "JSON with Comments", "HTML", "SCSS", "TypeScript JSX", "JavaScript", "Python", "XML", "comment", "blank", "total"
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\audio\124.json", "JSON", 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 178
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\audio\130.json", "JSON", 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 153
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\audio\81.json", "JSON", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\audio\downloader.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 11, 48
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\audio\filterSilentOnes.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 1, 8, 35
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\audio\loopMaker.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 17, 58
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\audio\sortAndRename.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 4, 9, 40
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\createClasses.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 8, 29
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\flavorColors.json", "JSON", 0, 0, 659, 0, 0, 0, 0, 0, 0, 0, 0, 0, 659
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\flavorImages.json", "JSON", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\flavors.json", "JSON", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\images\convertImagesToJsonImageArray.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 11, 44
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\images\convertImagesToJsonImageArrayMainFlavors.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 11, 44
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\images\createImages.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 17, 17, 66
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\mainFlavorColors.json", "JSON", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\flavors\mainFlavorImages.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\manifest\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\manifest\site.webmanifest", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\masks\convertGrayScaleToAlphaAsWell.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 5, 19
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\sprites\flavors\flavors.json", "JSON", 0, 0, 440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 440
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\sprites\mainFlavors\mainFlavors.json", "JSON", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\utils-python\convertFoldersToFileSizeJson.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 7, 17, 78
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\utils-python\convertImageToSelectionJson.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 10, 12, 44
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\utils-python\convertToImages.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 18, 76
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\utils-python\createSpriteImage.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 7, 10, 48
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\utils-python\listFileSizes.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 11, 31
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\package-lock.json", "JSON", 0, 0, 2759, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2760
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\package.json", "JSON", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\@types\Api.ts", "TypeScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 96
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\@types\ApiBodyFormats\Users.ts", "TypeScript", 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 216
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\@types\Endpoints.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 42
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\@types\Flavors.ts", "TypeScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 87
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\@types\User.ts", "TypeScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 60
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\@types\db.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\Dotenv.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\endpoints\dishes\DishesEndpoints.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 52
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\endpoints\restaurant\RestaurantEndpoints.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\endpoints\share\ShareEndpoints.ts", "TypeScript", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 148
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\endpoints\users\UsersEndpoints.ts", "TypeScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 86
