"filename", "language", "Markdown", "JSON with Comments", "HTML", "TypeScript", "JSON", "JavaScript", "Python", "SCSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\utils-python\convertImageToSelectionJson.py", "Python", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 8, 9, 39
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\utils-python\convertToImages.py", "Python", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 18, 76
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\utils-python\createSpriteImage.py", "Python", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 7, 10, 48
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\public\utils-python\listFileSizes.py", "Python", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 11, 31
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\package-lock.json", "JSON", 0, 0, 0, 0, 2759, 0, 0, 0, 0, 0, 0, 1, 2760
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\package.json", "JSON", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\@types\Api.ts", "TypeScript", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 11, 17, 96
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\@types\ApiBodyFormats\Users.ts", "TypeScript", 0, 0, 0, 203, 0, 0, 0, 0, 0, 0, 0, 13, 216
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\@types\Endpoints.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 8, 42
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\@types\Flavors.ts", "TypeScript", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 2, 87
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\@types\User.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 9, 60
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\@types\db.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 8, 43
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\Dotenv.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\endpoints\dishes\DishesEndpoints.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 12, 52
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\endpoints\restaurant\RestaurantEndpoints.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 7, 30
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\endpoints\share\ShareEndpoints.ts", "TypeScript", 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 31, 148
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\endpoints\users\UsersEndpoints.ts", "TypeScript", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 18, 86
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\endpoints\utils\EndpointUtils.ts", "TypeScript", 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 23, 152
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\main\index.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\sql\DBConnection.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 7, 38
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\sql\DishManager.ts", "TypeScript", 0, 0, 0, 243, 0, 0, 0, 0, 0, 0, 7, 41, 291
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\sql\ShareManager.ts", "TypeScript", 0, 0, 0, 352, 0, 0, 0, 0, 0, 0, 0, 61, 413
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\sql\Users.ts", "TypeScript", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 12, 81
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\src\utils\Utils.ts", "TypeScript", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 6, 13, 79
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\server\tsconfig.json", "JSON with Comments", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\Api.ts", "TypeScript", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 19, 102
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\Flavors.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\Users\dariu\Desktop\programming\flavorSynthesizer\src\@types\User.ts", "TypeScript", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 9, 58
